s06.ending.operator	The file went in on the eleventh of June naming Emeka Nwachukwu, 23, of Lagos, as the operator of the accounts that took 2.1 million kroner from Ingrid Halvorsen.
s06.ending.witness	His statement — taken over eleven hours by video, in three sessions, with an interpreter he did not need and asked to keep anyway — runs to sixty-two pages.
s06.matches.d1_001	Ingrid — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d2_001	Marit — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d3_001	Solveig — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d4_001	Grete — I read your profile three times before I wrote anything, which is not like me.
s06.mail.gm_001.body	Your CV has been shortlisted for the following placement:

  Role:        Customer Support Officer (English desk)
  Location:    Bangkok, Thailand
  Salary:      USD 1,200 / month + accommodation
  Contract:    24 months, renewable
  Start:       Immediate — 4 seats remaining

No experience required.
s06.mail.gm_006.body	Mama,

I am going to write this one and not send it like the others, because I have worked out that you would ask me one question and I would have to lie again.
s06.photos.ph_006.document	STATION 14 — DAILY

  NEW CONTACTS   4
  DEPOSITS       1
  TRANSCRIPTS    read back at 22:00

  MISSED DAY 1   verbal
  MISSED DAY 2   30 min
  MISSED DAY 3   60 min, no canteen
  MISSED DAY 4   floor decides

Someone has scratched a column of small vertical marks into the lamination down the right-hand edge, in groups of five.
s06.photos.ph_007.document	OVERSEAS PLACEMENT — BANGKOK
  CUSTOMER SUPPORT OFFICER (ENGLISH DESK)

  USD 1,200/month + accommodation
  NO EXPERIENCE REQUIRED
  FLIGHT AND VISA COVERED BY EMPLOYER
  4 SEATS ONLY

  Bakare Overseas Placements, Ikeja

Across the bottom, in biro, in a young hand: '180k — ask Mama for 60'.
s06.cloud.cf_002.body	DAHL, M., NO, 61, 40 000, pension
HALVORSEN, I., NO, 212, 2 100 000, house — DONE
IVERSEN, S., NO, 9, 0, blocked
JOHANSEN, G., NO, 6, 0, asked for video
...
s06.cloud.cf_005.body	INTAKE — NOVEMBER 2024

  ARRIVED   28/11/2024, 04:20, by road from BKK
  HEADCOUNT 31
  SOURCE    Bakare Overseas Placements (Lagos) x11
            Sunrise Manpower (Manila) x14
            direct x6

  DOCUMENTS COLLECTED AT GATE: 31 of 31
  DOCUMENTS RETURNED: 0

  Assignments: English desk (Lagos intake), Mandarin desk, Tagalog desk.
s06.matches.d5_001	Bodil — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d6_001	Astrid — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d7_001	Hilde — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d8_001	Randi — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d9_001	Turid — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d10_001	Elin — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d11_001	Gunvor — I read your profile three times before I wrote anything, which is not like me.
s06.matches.d12_001	Kari — I read your profile three times before I wrote anything, which is not like me.
s06.mail.f_gm_111.body	She says: are you eating, is it hot there, did you get the money for the rent, and she is not angry, she only wants to hear your voice one time.
s06.mail.f_gm_125.body	You raised me to say a thing plainly so I will say the plain part: I did it, and I would do it again tomorrow, because of what happens in the room if I do not.
